total bases NEW=160 OLD=160  procs 440vs440
   PROC-039: OLD src=['T-044'] act=设计方案编制 ent=项目 dim=项目状态 n=3
!! PROC-040: NEW src=['T-057'] act=启用实验室 ent=实验室 dim=实验室状态 n=2
   PROC-040: OLD src=['EO-CRU-002'] act=执行删除项目 ent=项目 dim=None n=3
!! PROC-041: NEW src=['T-063'] act=批量审核 ent=审核任务 dim=任务状态 n=2
   PROC-041: OLD src=['EO-CRU-003'] act=执行设计方案编制 ent=项目 dim=None n=3
!! PROC-042: NEW src=['T-064'] act=重新提交任务 ent=审核任务 dim=任务状态 n=2
   PROC-042: OLD src=['EO-CRU-005'] act=执行代码导入 ent=项目 dim=None n=3
!! PROC-043: NEW src=['T-008'] act=报名审核 ent=报名记录 dim=报名记录状态 n=5
   PROC-043: OLD src=['EO-CRU-006'] act=执行批量处理 ent=项目 dim=None n=3
!! PROC-044: NEW src=['T-013'] act=发票开具 ent=报名记录 dim=发票状态 n=5
   PROC-044: OLD src=['EO-CRU-007'] act=执行消息发送 ent=项目 dim=None n=3
!! PROC-045: NEW src=['T-011'] act=缴费 ent=报名记录 dim=费用状态 n=5
   PROC-045: OLD src=['EO-CRU-008'] act=执行查询项目 ent=项目 dim=None n=3
!! PROC-046: NEW src=['EO-CRU-017'] act=执行上传缴费证明 ent=报名记录 dim=None n=5
   PROC-046: OLD src=['EO-CRU-011'] act=执行导入历史数据 ent=项目 dim=None n=3
!! PROC-047: NEW src=['T-019'] act=接收能力验证计划并确认 ent=项目 dim=通知状态 n=3
   PROC-047: OLD src=['EO-CRU-012'] act=执行查询历史项目 ent=项目 dim=None n=3
!! PROC-048: NEW src=['T-046'] act=作业指导书编制 ent=项目 dim=通知状态 n=3
   PROC-048: OLD src=['EO-CRU-013'] act=执行查询统计数据 ent=项目 dim=None n=3
!! PROC-049: NEW src=['T-048'] act=退回预通知 ent=项目 dim=通知状态 n=3
   PROC-049: OLD src=['T-008'] act=报名审核 ent=报名记录 dim=报名记录状态 n=5
!! PROC-050: NEW src=['T-016'] act=能力验证预通知 ent=项目 dim=项目状态 n=3
   PROC-050: OLD src=['T-013'] act=发票开具 ent=报名记录 dim=发票状态 n=5
!! PROC-051: NEW src=['T-065'] act=能力验证预通知 ent=项目 dim=项目状态 n=3
   PROC-051: OLD src=['T-011'] act=缴费 ent=报名记录 dim=费用状态 n=5
!! PROC-052: NEW src=['T-006', 'CO-001', 'CO-003'] act=报名 ent=缴费通知单 dim=缴费通知单状态 n=2
   PROC-052: OLD src=['EO-CRU-017'] act=执行上传缴费证明 ent=报名记录 dim=None n=5
!! PROC-053: NEW src=['EO-CRU-038'] act=执行编制缴费通知 ent=缴费通知单 dim=None n=2
   PROC-053: OLD src=['T-065'] act=能力验证预通知 ent=项目 dim=项目状态 n=3
!! PROC-054: NEW src=['T-055'] act=实验室审核 ent=实验室 dim=实验室状态 n=2
   PROC-054: OLD src=['T-006', 'CO-001', 'CO-003'] act=报名 ent=缴费通知单 dim=缴费通知单状态 n=2
!! PROC-055: NEW src=['T-053'] act=机构修改实验室信息 ent=实验室 dim=实验室状态 n=2
   PROC-055: OLD src=['EO-CRU-038'] act=执行编制缴费通知 ent=缴费通知单 dim=None n=2
   PROC-056: NEW src=['T-062'] act=批量审核 ent=审核任务 dim=任务状态 n=2
   PROC-057: NEW src=['T-012'] act=样品制备 ent=样品 dim=样品状态 n=2
   PROC-058: NEW src=['T-045'] act=样品领用登记 ent=样品 dim=样品状态 n=2
   PROC-059: NEW src=['T-015'] act=能力验证预通知 ent=报名记录 dim=报名记录状态 n=5
   PROC-060: NEW src=['T-018'] act=样品核查 ent=报名记录 dim=报名记录样品状态 n=5
   PROC-061: NEW src=['T-017'] act=样品核查 ent=样品 dim=样品状态 n=2
   PROC-062: NEW src=['T-023'] act=参加者测试与结果提交 ent=样品 dim=样品状态 n=2
