('PROC-082', '项目', '样品状态', 1, 'dep_state_phase_map.项目.样品状态.已核查')
('PROC-083', '项目', '项目状态', 1, 'dep_state_phase_map.项目.项目状态.报名中')
('PROC-084', '项目', '项目状态', 1, 'dep_state_phase_map.项目.项目状态.报名中')
('PROC-085', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-086', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-087', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-088', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-089', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-090', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-091', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-092', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-093', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-094', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-095', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-096', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-097', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-098', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-099', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-100', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-101', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-102', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-103', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-104', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-105', '项目', None, 1, 'domain_precond_creation.T-001.P1')
('PROC-106', '实验室信息', '实验室状态', 1, 'dep_state_phase_map.实验室信息.实验室状态.启用')
('PROC-107', '实验室信息', '实验室状态', 1, 'dep_state_phase_map.实验室信息.实验室状态.启用 (reje')
('PROC-108', '实验室信息', '实验室状态', 1, 'dep_state_phase_map.实验室信息.实验室状态.停用')
('PROC-109', '实验室信息', '实验室状态', 1, 'dep_state_phase_map.实验室信息.实验室状态.启用')
('PROC-110', '实验室信息', None, 1, 'dep_map_max_phase.实验室信息.1')
('PROC-111', '实验室信息', None, 1, 'dep_map_max_phase.实验室信息.1')
('PROC-112', '实验室信息', None, 1, 'dep_map_max_phase.实验室信息.1')
('PROC-113', '项目评价', '评价状态', 1, 'dep_state_phase_map.项目评价.评价状态.评价中')
('PROC-114', '项目评价', '评价状态', 1, 'dep_state_phase_map.项目评价.评价状态.评价中')
('PROC-115', '项目评价', '评价状态', 1, 'dep_state_phase_map.项目评价.评价状态.评价中')
('PROC-116', '流程审批', '审批状态', 1, 'dep_state_phase_map.流程审批.审批状态.已通过')
('PROC-117', '流程审批', '审批状态', 1, 'dep_state_phase_map.流程审批.审批状态.已通过 (rejec')
('PROC-118', '流程审批', '审批状态', 1, 'dep_state_phase_map.流程审批.审批状态.已退回')
('PROC-119', '流程审批', None, 1, 'dep_map_max_phase.流程审批.1')
('PROC-120', '流程审批', None, 1, 'dep_map_max_phase.流程审批.1')
('PROC-121', '流程审批', None, 1, 'dep_map_max_phase.流程审批.1')
('PROC-122', '流程审批', None, 1, 'dep_map_max_phase.流程审批.1')
('PROC-123', '报名记录', '报名记录状态', 2, 'phase_table.报名记录状态.结果待提交')
('PROC-124', '项目', '项目状态', 2, 'dep_state_phase_map.项目.项目状态.进行中')
('PROC-125', '项目评价', '评价状态', 2, 'dep_state_phase_map.项目评价.评价状态.已确认')
('PROC-126', '项目评价', None, 2, 'dep_map_max_phase.项目评价.2')
('PROC-127', '项目评价', None, 2, 'dep_map_max_phase.项目评价.2')
('PROC-128', '项目评价', None, 2, 'dep_map_max_phase.项目评价.2')
('PROC-129', '报名记录', '报名记录状态', 3, 'phase_table.报名记录状态.结果已提交')
('PROC-130', '报名记录', '报名记录状态', 3, 'phase_table.报名记录状态.结果已提交')
('PROC-131', '报名记录', '报名记录状态', 3, 'phase_table.报名记录状态.结果已提交')
('PROC-132', '项目', '项目状态', 3, 'dep_state_phase_map.项目.项目状态.报告审核中')
('PROC-133', '报名记录', '报名记录状态', 4, 'phase_table.报名记录状态.报告/证书审核中')
('PROC-134', '项目', '项目状态', 4, 'dep_state_phase_map.项目.项目状态.已结束')
('PROC-135', '项目', None, 4, 'dep_map_max_phase.项目.4')
('PROC-136', '项目', None, 4, 'dep_map_max_phase.项目.4')
('PROC-137', '项目', None, 4, 'dep_map_max_phase.项目.4')
('PROC-138', '项目', None, 4, 'dep_map_max_phase.项目.4')
('PROC-139', '报名记录', '报名记录状态', 5, 'phase_table.报名记录状态.报告/证书已发布')
('PROC-140', '报名记录', '报名记录状态', 5, 'phase_table.报名记录状态.已撤销')
('PROC-141', '报名记录', None, 5, 'primary_entity_max_phase.5')
('PROC-142', '报名记录', None, 5, 'primary_entity_max_phase.5')
('PROC-143', '报名记录', None, 5, 'primary_entity_max_phase.5')
('PROC-144', '测试项', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-145', '测试项', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-146', '测试项', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-147', '测试项', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-148', '缴费信息', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-149', '缴费信息', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-150', '缴费信息', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-151', '缴费信息', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-152', '缴费信息', None, 5, 'parent_primary_phase.报名记录.5 (via chain f')
('PROC-153', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-154', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-155', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-156', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-157', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-158', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-159', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-160', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-161', '标准库', None, 6, 'data_section_defer: 标准库 unanchored (obje')
('PROC-162', '子领域', None, 6, 'data_section_defer: 子领域 unanchored (obje')
('PROC-163', '子领域', None, 6, 'data_section_defer: 子领域 unanchored (obje')
('PROC-164', '子领域', None, 6, 'data_section_defer: 子领域 unanchored (obje')
('PROC-165', '子领域', None, 6, 'data_section_defer: 子领域 unanchored (obje')
('PROC-166', '子领域', None, 6, 'data_section_defer: 子领域 unanchored (obje')
('PROC-167', '历史项目', None, 6, 'data_section_defer: 历史项目 unanchored (obj')
('PROC-168', '历史项目', None, 6, 'data_section_defer: 历史项目 unanchored (obj')
('PROC-169', '信息发送记录', None, 6, 'data_section_defer: 信息发送记录 unanchored (o')
('PROC-170', '信息发送记录', None, 6, 'data_section_defer: 信息发送记录 unanchored (o')
('PROC-171', '信息发送记录', None, 6, 'data_section_defer: 信息发送记录 unanchored (o')
('PROC-172', '信息发送记录', None, 6, 'data_section_defer: 信息发送记录 unanchored (o')
